rank,title,release_year,content_rating,rating,runtime_minutes,rating_scaled
1,The Shawshank Redemption,1994,R,9.3,142,93.0
2,The Godfather,1972,R,9.2,175,92.0
3,The Dark Knight,2008,PG-13,9.0,152,90.0
4,The Godfather Part II,1974,R,9.0,202,90.0
5,12 Angry Men,1957,Approved,9.0,96,90.0
6,The Lord of the Rings: The Return of the King,2003,PG-13,9.0,201,90.0
7,Schindler's List,1993,R,9.0,195,90.0
8,Pulp Fiction,1994,R,8.9,154,89.0
9,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,8.9,178,89.0
10,"The Good, the Bad and the Ugly",1966,R,8.8,178,88.0
11,Forrest Gump,1994,PG-13,8.8,142,88.0
12,The Lord of the Rings: The Two Towers,2002,PG-13,8.8,179,88.0
13,Fight Club,1999,R,8.8,139,88.0
14,Inception,2010,PG-13,8.8,148,88.0
15,Star Wars: Episode V - The Empire Strikes Back,1980,PG,8.7,124,87.0
16,The Matrix,1999,R,8.7,136,87.0
17,Goodfellas,1990,R,8.7,145,87.0
18,One Flew Over the Cuckoo's Nest,1975,R,8.7,133,87.0
19,Interstellar,2014,PG-13,8.7,169,87.0
20,Se7en,1995,R,8.6,127,86.0
21,It's a Wonderful Life,1946,PG,8.6,130,86.0
22,Seven Samurai,1954,Not Rated,8.6,207,86.0
23,The Silence of the Lambs,1991,R,8.6,118,86.0
24,Saving Private Ryan,1998,R,8.6,169,86.0
25,City of God,2002,R,8.6,130,86.0
26,The Green Mile,1999,R,8.6,189,86.0
27,Life Is Beautiful,1997,PG-13,8.6,116,86.0
28,Terminator 2: Judgment Day,1991,R,8.6,137,86.0
29,Star Wars: Episode IV - A New Hope,1977,PG,8.6,121,86.0
30,Back to the Future,1985,PG,8.5,116,85.0
31,Spirited Away,2001,PG,8.6,124,86.0
32,The Pianist,2002,R,8.5,150,85.0
33,Parasite,2019,R,8.5,132,85.0
34,Psycho,1960,R,8.5,109,85.0
35,Gladiator,2000,R,8.5,155,85.0
36,The Lion King,1994,G,8.5,88,85.0
37,The Departed,2006,R,8.5,151,85.0
38,Spider-Man: Across the Spider-Verse,2023,PG,8.6,140,86.0
39,Whiplash,2014,R,8.5,106,85.0
40,Grave of the Fireflies,1988,Not Rated,8.5,88,85.0
41,American History X,1998,R,8.5,119,85.0
42,Léon: The Professional,1994,R,8.5,110,85.0
43,The Prestige,2006,PG-13,8.5,130,85.0
44,Harakiri,1962,Not Rated,8.6,133,86.0
45,Casablanca,1942,PG,8.5,102,85.0
46,The Usual Suspects,1995,R,8.5,106,85.0
47,The Intouchables,2011,R,8.5,112,85.0
48,Dune: Part Two,2024,PG-13,8.5,166,85.0
49,Cinema Paradiso,1988,PG,8.5,174,85.0
50,Modern Times,1936,G,8.5,87,85.0
51,Alien,1979,R,8.5,117,85.0
52,Rear Window,1954,PG,8.5,112,85.0
53,Once Upon a Time in the West,1968,PG-13,8.5,166,85.0
54,Django Unchained,2012,R,8.5,165,85.0
55,City Lights,1931,G,8.5,87,85.0
56,Apocalypse Now,1979,R,8.4,147,84.0
